location_id,city,area,location_name,latitude,longitude,location_type
LOC0290,Surat,Old City Market,Old City Market Railway Station,29.429584,83.34645,transport
LOC0291,Ranchi,Phase 23 Industrial Estate,Phase 23 Industrial Estate Apartments,26.048664,86.988217,residential
LOC0292,Noida,Phase 29 Industrial Estate,Phase 29 Industrial Estate Apartments,21.238587,79.023907,residential
LOC0293,Ghaziabad,Old City Market,Old City Market Storage Yard,22.777446,74.122933,warehouse
LOC0294,Chennai,Phase 51 Industrial Estate,Phase 51 Industrial Estate Business Tower,21.960083,86.536144,office
LOC0295,Delhi,Railway Colony,Railway Colony Industrial Estate,26.311834,73.73715,industrial
LOC0296,Ludhiana,Old City Market,Old City Market Public Ground,20.364293,77.706662,public
LOC0297,Amritsar,Civil Lines,Civil Lines Market,27.241157,83.759045,commercial
LOC0298,Hyderabad,Railway Colony,Railway Colony Inn,26.25633,78.887154,hotel
LOC0299,Kanpur,Commercial Block B,Commercial Block B Family Restaurant,27.230606,79.48244,restaurant
LOC0300,Mumbai,Old City Market,Old City Market Warehouse Zone,27.960031,86.771352,industrial
